musica	fileId	titulo_drive	mimetype	modificado	slug_destino
ELE E EXALTADO	13_KtVNrJTrLu-HGGGk3TSm5S7rzHUCs0bbgWYAm2sKw	ELE É EXALTADO_TOM_G	application/vnd.google-apps.document	2026-08-23T00:50:57.020Z	ele-e-exaltado-tom-g.txt
ESPIRITO ENCHE A MINHA VIDA	1q4dXsGfkrtjJ-NPAjFcKLOKo10r5GryTxvWHMDBPyjQ	ESPÍRITO, ENCHE A MINHA VIDA - TOM_A	application/vnd.google-apps.document	2026-08-23T00:50:26.212Z	espirito-enche-a-minha-vida-tom-a.txt
ESPIRITO ENCHE A MINHA VIDA	1HDB8tRuanqQFX-kA8v2jzR3sx8A7OZUje5E_ZMrFMjQ	Jesus em Tua Presença+Enche a Minha Vida_A	application/vnd.google-apps.document	2026-03-21T21:22:06.456Z	jesus-em-tua-presenca-enche-a-minha-vida-a.txt
EU CONFIO EM DEUS	1Hb8qZJMsGWRxXrjVGOZQIRaMTRs-79eugLBg6R_anYU	Eu Confio em Deus_D_original	application/vnd.google-apps.document	2026-04-12T15:12:07.580Z	eu-confio-em-deus-d-original.txt
EU E MINHA CASA	1zsWdIAGbRl6sdeqWOLbg7o87htLpYWA5-TF81WifqIY	EU E MINHA CASA_TOM_G	application/vnd.google-apps.document	2026-08-23T01:02:16.960Z	eu-e-minha-casa-tom-g.txt
EU E MINHA CASA	1FvZinSbkRSw-JZmHo3JzTgjjdWcawbSYRs25Fn1WLNU	EU E MINHA CASA_Julliany Souza_E_contralto	application/vnd.google-apps.document	2026-06-06T14:57:41.449Z	eu-e-minha-casa-julliany-souza-e-contralto.txt
EU E MINHA CASA	16-lGlVMS3ioiXUBheYmqonaqj1nijOJ_Ket8CWx-C9c	Cópia de EU E MINHA CASA_Julliany Souza_F_sop+tenor	application/vnd.google-apps.document	2026-05-01T11:04:43.253Z	copia-de-eu-e-minha-casa-julliany-souza-f-sop-tenor.txt
EU VOU CONSTRUIR	1YYRF-Boe354MmMs4-tE5UDT_e2cOzwKg-XPAD1SXWpo	Eu vou construir_Tom_D	application/vnd.google-apps.document	2026-08-23T01:03:59.604Z	eu-vou-construir-tom-d.txt
EU VOU CONSTRUIR	10iRczTbZ_UVV45BYQu3w0pdwsAknVVO5gosJl0Wl6UA	Eu vou construir_Tom_F	application/vnd.google-apps.document	2026-08-23T01:01:51.027Z	eu-vou-construir-tom-f.txt
EU VOU CONSTRUIR	1kSDOX8mu61wfju2IxSO5vMGnJbDe_NJtLdEMzKU8EaU	Eu vou construir_Tom_A	application/vnd.google-apps.document	2026-08-23T01:01:48.704Z	eu-vou-construir-tom-a.txt
EU VOU CONSTRUIR	1yBbP-2BSPBwN7SrwKUycol01Ks7mi1hTj9RdRGTb2l4	Eu vou construir_Tom_G	application/vnd.google-apps.document	2026-08-23T01:01:13.031Z	eu-vou-construir-tom-g.txt
GRATO SOU	153e-UHZOjRYPSwOOMQSEnp9Tbf5g_iVycIPUQt7OKCY	Grato Sou_Tom_E	application/vnd.google-apps.document	2026-08-18T13:32:21.762Z	grato-sou-tom-e.txt
JESUS EM TUA PRESENCA	1WO3OXy94IZp6kaejMxAId1U5kPVapuLXNOL772GEC1k	JESUS EM TUA PRESENÇA_E	application/vnd.google-apps.document	2026-08-23T00:48:51.374Z	jesus-em-tua-presenca-e.txt
JESUS EM TUA PRESENCA	1HDB8tRuanqQFX-kA8v2jzR3sx8A7OZUje5E_ZMrFMjQ	Jesus em Tua Presença+Enche a Minha Vida_A	application/vnd.google-apps.document	2026-03-21T21:22:06.456Z	jesus-em-tua-presenca-enche-a-minha-vida-a.txt
NAO HA UM NOME IGUAL	1RyPnkWAVw1ASVf3HzzCyR2TCZywDPRF7RwaePHOcgkw	NÃO HÁ UM NOME IGUAL_TOM_B	application/vnd.google-apps.document	2026-08-23T00:51:17.234Z	nao-ha-um-nome-igual-tom-b.txt
NAO HA UM NOME IGUAL	1iU8Almm2DrtvPCzaG_kGbHHk2nY0dthi16dW5AW-too	NÃO HÁ UM NOME IGUAL_TOM_F	application/vnd.google-apps.document	2026-08-23T00:49:35.101Z	nao-ha-um-nome-igual-tom-f.txt
NAO HA UM NOME IGUAL	1TeB-nyTCtQKR_mPUsWMAu9o-5U294jxjxW72E4Tk0h8	NÃO HÁ UM NOME IGUAL_TOM_A	application/vnd.google-apps.document	2026-08-23T00:48:44.365Z	nao-ha-um-nome-igual-tom-a.txt
NAO HA UM NOME IGUAL	1d_MV5vZ48MH2qhqwHXlA9eIXS0Jctfx35AR14qT-vyM	Não Há Um Nome Igual_FEM_B	application/vnd.google-apps.document	2026-01-10T19:40:43.760Z	nao-ha-um-nome-igual-fem-b.txt
O GRANDE EU SOU	1_Rhv2AawZLKmFVXg_Ou-nUChiOT8E-IgnP6CjhhPoyw	O GRANDE EU SOU_D	application/vnd.google-apps.document	2026-08-18T14:07:31.368Z	o-grande-eu-sou-d.txt
O GRANDE EU SOU	1gJE-Oz64eGopGrnaoqtgAo5xz48jhtyfZHNobXBZWfc	O GRANDE EU SOU_C	application/vnd.google-apps.document	2026-08-18T14:04:37.610Z	o-grande-eu-sou-c.txt
O NOVO DE DEUS	1qentJvwGrb4ZvZsFRmlIRfMfPjzD3efwRtm3z_-iOaw	O NOVO DE DEUS_TOM_C	application/vnd.google-apps.document	2026-08-23T00:48:34.716Z	o-novo-de-deus-tom-c.txt
OH QUAO LINDO ESSE NOME E	1MwDf4j-7Tqi-DM5jnUIpMOGnSeoYbduktfsnKzdrI6g	OH, QUÃO LINDO ESSE NOME É _TOM_E	application/vnd.google-apps.document	2026-08-23T01:03:04.043Z	oh-quao-lindo-esse-nome-e-tom-e.txt
OH QUAO LINDO ESSE NOME E	1aBNDEH3MsBmGh42hoksHVwymy1O7Vbe5ZF4YPegWp70	OH, QUÃO LINDO ESSE NOME É _D	application/vnd.google-apps.document	2026-08-23T00:48:55.953Z	oh-quao-lindo-esse-nome-e-d.txt
OH QUAO LINDO ESSE NOME E	17RTLb1XYSmEPbB-tdw-5YUhZyrf90PfF0xXK1CZM6LE	NADA ALÉM DO SANGUE+PRA SEMPRE+OH QUÃO LINDO ESSE NOME É_Bb_Masculino	application/vnd.google-apps.document	2026-03-08T16:46:14.939Z	nada-alem-do-sangue-pra-sempre-oh-quao-lindo-esse-nome-e-bb-masculino.txt
OH QUAO LINDO ESSE NOME E	1WUoAx8f_-n50dH4fTOgbQ_hq2lAJCvAS8RKqMI7JBIM	Eu Vou Construir / Oh Quão Lindo Esse Nome É	application/vnd.google-apps.document	2025-03-08T17:36:13.192Z	eu-vou-construir-oh-quao-lindo-esse-nome-e.txt
PARDAL	1hGXV-IRBUVGM4rvalgYmdpZSSsYzTJls595gbAIpJIs	Pardal_Bb	application/vnd.google-apps.document	2025-12-13T13:41:19.885Z	pardal-bb.txt
PODER PRA SALVAR	183MM5l2g72VBqoa3s4XVzLkmPUyHnCip6a4DlVu7IKw	PODER PRA SALVAR_TOM_E	application/vnd.google-apps.document	2026-08-23T01:02:41.923Z	poder-pra-salvar-tom-e.txt
PODER PRA SALVAR	1l_xQ4oJB81t_A4LOvJP86RTTZoINDTkNaPDJAQdsJfQ	PODER PRA SALVAR	application/vnd.google-apps.document	2026-08-23T01:00:31.353Z	poder-pra-salvar.txt
PODER PRA SALVAR	1J2kFDBK7YMSJetHaI3Q5jyK1xPEymqo9qqCS26YpEgc	PODER PRA SALVAR_TOM-E	application/vnd.google-apps.document	2026-08-23T01:00:26.656Z	poder-pra-salvar-tom-e-2.txt
PRA SEMPRE	1ax0NBTs5sonLOPZDgUkHRtR9HJ3-X5Wt_Xu_M23pHps	Pra Sempre_D_Feminino	application/vnd.google-apps.document	2026-04-07T16:36:55.487Z	pra-sempre-d-feminino.txt
PRA SEMPRE	1bk69EXpJF9Nw_cXzTmSyPDX1odiNTk5FboC5xFjAVB0	Pra Sempre (C) - Fernandinho	application/vnd.google-apps.document	2026-03-30T19:53:56.885Z	pra-sempre-c-fernandinho.txt
PRA SEMPRE	17RTLb1XYSmEPbB-tdw-5YUhZyrf90PfF0xXK1CZM6LE	NADA ALÉM DO SANGUE+PRA SEMPRE+OH QUÃO LINDO ESSE NOME É_Bb_Masculino	application/vnd.google-apps.document	2026-03-08T16:46:14.939Z	nada-alem-do-sangue-pra-sempre-oh-quao-lindo-esse-nome-e-bb-masculino.txt
QUEM E ESSE	1OuD7QFwJtZUanq7nXmpeIJGLP4pxtO8HQdI80V_nclg	Quem é esse_F_Soprano	application/vnd.google-apps.document	2026-08-14T00:00:38.540Z	quem-e-esse-f-soprano.txt
QUEM E ESSE	117fAkzvHsvfImU233gZNz2M2AnXhc9-GpoazT6cz8KI	QUEM É ESSE_D_Contralto	application/vnd.google-apps.document	2025-08-20T15:56:05.747Z	quem-e-esse-d-contralto.txt
RENDIDO ESTOU	1gPLjywGkthktrQVRnZqmM61QB_kTrClwJvpkgSM-9KI	RENDIDO ESTOU_TOM_D	application/vnd.google-apps.document	2026-08-23T00:49:53.200Z	rendido-estou-tom-d.txt
RENOVA-ME	1jHowfO8O7YhTiZzuhw0clmXwby-WtpvKYhPWj4szLA0	RENOVA-ME_ C_contralto	application/vnd.google-apps.document	2026-05-02T10:22:34.929Z	renova-me-c-contralto.txt
RENOVA-ME	1a8aJursItzJdDa97ZrGeRU42HUOduy8x2VnVEDftjm8	RENOVA-ME_ Eb_masculino	application/vnd.google-apps.document	2026-05-01T11:41:48.451Z	renova-me-eb-masculino.txt
SANTO PRA SEMPRE	1AOeEVTdHfZ38zOpQVsVmIOfV5bzYrD-oZxxe8_VXcP8	Santo Pra Sempre	application/vnd.google-apps.document	2025-05-28T21:42:23.479Z	santo-pra-sempre.txt
SUBLIME	1bHpRW-Nnp89QAiKEDGnqadMBIJRGzr1-TmmdESea3zA	Sublime_E_contralto	application/vnd.google-apps.document	2026-04-11T19:05:05.703Z	sublime-e-contralto.txt
SUBLIME	1ERB4JyeIOOHxmObeBaAjkxAsNJf8VTzmCEQ_ui2fcLc	SUBLIME_G_Soprano	application/vnd.google-apps.document	2026-04-11T18:57:53.010Z	sublime-g-soprano.txt
SUBLIME	13sNtb_-x96OtVh9jn5vD324OEElF-tfb_fNLSkyAnnQ	Sublime_D_original	application/vnd.google-apps.document	2026-04-10T16:20:22.998Z	sublime-d-original.txt
SUBLIME	1nzGYAE1SB3rIYC1OtpGcWAjGs4nhUAcd16IKD1yr3P8	SUBLIME_C_masculino	application/vnd.google-apps.document	2026-04-10T16:19:03.830Z	sublime-c-masculino.txt
TE LOUVAREI	1WVVU71YAukDoT2_oxqTU00TL3dps0DTdAV4toUhVFsg	TE LOUVAREI_MSC_F_Feminino	application/vnd.google-apps.document	2026-08-23T00:49:11.679Z	te-louvarei-msc-f-feminino.txt
TE LOUVAREI	1GCWiT0zYwAIcdDUFdX0XiTrC1DjVauAJIPD7v6ko3os	TE LOUVAREI_A_masculino	application/vnd.google-apps.document	2026-08-23T00:48:49.234Z	te-louvarei-a-masculino.txt
TEU REINO	1LSNagZNmMMcBnuIDP1LyqvWJ6yBxSUlklIRn4JWvpuc	TEU REINO_TOM-B	application/vnd.google-apps.document	2026-08-23T01:02:55.385Z	teu-reino-tom-b.txt
TEU REINO	19MpbsWAMNF04kcMBYhUTM8PgLZsQQuYmhVMsVxp0lL4	TEU REINO	application/vnd.google-apps.document	2026-08-23T00:52:51.609Z	teu-reino.txt
TEU REINO	1E_vYvbaDZZI9dT1yUNXIWEhlCFqMVgxhdXlCbpXqaMA	TEU REINO_FEM_G	application/vnd.google-apps.document	2026-08-23T00:48:42.094Z	teu-reino-fem-g.txt
TEU TOQUE	1etVDOSfC3aIbInexi5Sfk_6XqyKOD6yFDSS1Kp4N1Zw	Teu Toque_D_masculino	application/vnd.google-apps.document	2026-06-06T13:48:41.192Z	teu-toque-d-masculino.txt
TEU TOQUE	1KfvLoMpgKva1lSRK15DooCYH82lakF3Ub8EW2tiD3sg	Teu Toque_Bb_Feminino	application/vnd.google-apps.document	2026-01-10T20:35:14.652Z	teu-toque-bb-feminino.txt
TREMENDA GRACA	16Gaz6IxbJgCdiGCzueOHW6UlSs2Sk5CJseDO1MUk8L0	TREMENDA GRAÇA_TOM_C_Contralto	application/vnd.google-apps.document	2026-08-23T00:49:04.776Z	tremenda-graca-tom-c-contralto.txt
TREMENDA GRACA	1zsLXZ3ekl94PP4bz9TO2-z4PMTfUILpyIFQoXwQgv6w	Tremenda Graça_E_soprano	application/vnd.google-apps.document	2026-08-23T00:49:02.849Z	tremenda-graca-e-soprano.txt
TU ES	1vmhtMPQsfxmhZyHQjICFvsc30Gc1moMinvsJho1YYMI	TU ÉS_D	application/vnd.google-apps.document	2025-09-20T13:54:15.725Z	tu-es-d.txt
TU ES	1QPVPbDGlqJUVg4fGonfD0fi1_tlU-SJo_DjZziDHrUw	Tu És / Águas Purificadoras	application/vnd.google-apps.document	2025-09-20T13:50:13.096Z	tu-es-aguas-purificadoras.txt
UM NOVO DIA	19F60XgqATWuyTi_mqGLif34v8Wk9SRKL7-Sux1vDZZA	Um novo dia_F#_Original	application/vnd.google-apps.document	2026-03-05T16:19:29.387Z	um-novo-dia-f-original.txt
VENCENDO VEM JESUS	1y504TBjEYVYdcx3dtz9clQkxsc7aej7mjIL7V8O7S5w	VENCENDO VEM JESUS (tom geral)	application/vnd.google-apps.document	2026-08-23T01:00:43.532Z	vencendo-vem-jesus-tom-geral.txt
VENCENDO VEM JESUS	1KXloYwUvti0V5ULXmucoHTOsRJsL6zmrZ0EJ9e6GhHw	VENCENDO VEM JESUS-RAIZ WORSHIP_E	application/vnd.google-apps.document	2026-08-23T00:48:29.764Z	vencendo-vem-jesus-raiz-worship-e.txt
